# packages in environment at C:\ProgramData\Anaconda3\envs\financial:
#
# Name                    Version                   Build  Channel
agentops                  0.3.13                   pypi_0    pypi
aiohappyeyeballs          2.4.0                    pypi_0    pypi
aiohttp                   3.10.5                   pypi_0    pypi
aiosignal                 1.3.1                    pypi_0    pypi
alembic                   1.13.3                   pypi_0    pypi
altair                    5.4.1              pyhd8ed1ab_0    conda-forge
annotated-types           0.7.0                    pypi_0    pypi
anyio                     4.6.0                    pypi_0    pypi
appdirs                   1.4.4                    pypi_0    pypi
archspec                  0.2.3              pyhd8ed1ab_0    conda-forge
asgiref                   3.8.1                    pypi_0    pypi
asttokens                 2.4.1              pyhd8ed1ab_0    conda-forge
attrs                     24.2.0             pyh71513ae_0    conda-forge
aws-c-auth                0.7.31               hce3b56f_0    conda-forge
aws-c-cal                 0.7.4                hf1fc857_1    conda-forge
aws-c-common              0.9.28               h2466b09_0    conda-forge
aws-c-compression         0.2.19               hf1fc857_1    conda-forge
aws-c-event-stream        0.4.3                hd0ca3c1_2    conda-forge
aws-c-http                0.8.10               heca9ddf_0    conda-forge
aws-c-io                  0.14.18             h3831a8d_10    conda-forge
aws-c-mqtt                0.10.6               hf27581b_0    conda-forge
aws-c-s3                  0.6.6                h56e9fbd_0    conda-forge
aws-c-sdkutils            0.1.19               hf1fc857_3    conda-forge
aws-checksums             0.1.20               hf1fc857_0    conda-forge
aws-crt-cpp               0.28.3               hd65be8e_5    conda-forge
aws-sdk-cpp               1.11.407             h25dd3c2_0    conda-forge
backcall                  0.2.0                    pypi_0    pypi
backoff                   2.2.1                    pypi_0    pypi
bcrypt                    4.2.0                    pypi_0    pypi
beautifulsoup4            4.12.3                   pypi_0    pypi
bleach                    6.1.0                    pypi_0    pypi
blinker                   1.8.2              pyhd8ed1ab_0    conda-forge
boltons                   24.0.0             pyhd8ed1ab_0    conda-forge
boto3                     1.35.25                  pypi_0    pypi
botocore                  1.35.25                  pypi_0    pypi
brotli                    1.1.0                h2466b09_2    conda-forge
brotli-bin                1.1.0                h2466b09_2    conda-forge
brotli-python             1.1.0           py311hda3d55a_2    conda-forge
build                     1.2.2                    pypi_0    pypi
bzip2                     1.0.8                h2466b09_7    conda-forge
c-ares                    1.33.1               h2466b09_0    conda-forge
ca-certificates           2024.8.30            h56e8100_0    conda-forge
cachetools                5.5.0              pyhd8ed1ab_0    conda-forge
cairo                     1.18.0               h32b962e_3    conda-forge
certifi                   2024.8.30          pyhd8ed1ab_0    conda-forge
cffi                      1.17.1          py311he736701_0    conda-forge
chardet                   5.2.0                    pypi_0    pypi
charset-normalizer        3.3.2              pyhd8ed1ab_0    conda-forge
chroma-hnswlib            0.7.3                    pypi_0    pypi
chromadb                  0.4.24                   pypi_0    pypi
click                     8.1.7           win_pyh7428d3b_0    conda-forge
cohere                    5.9.4                    pypi_0    pypi
colorama                  0.4.6              pyhd8ed1ab_0    conda-forge
coloredlogs               15.0.1                   pypi_0    pypi
comm                      0.2.2              pyhd8ed1ab_0    conda-forge
conda                     24.9.1          py311h1ea47a8_0    conda-forge
conda-libmamba-solver     24.7.0             pyhd8ed1ab_0    conda-forge
conda-package-handling    2.3.0              pyh7900ff3_0    conda-forge
conda-package-streaming   0.10.0             pyhd8ed1ab_0    conda-forge
crewai                    0.41.1                   pypi_0    pypi
crewai-tools              0.4.8                    pypi_0    pypi
cryptography              43.0.1                   pypi_0    pypi
cssselect2                0.2.1              pyh9f0ad1d_1    conda-forge
dataclasses-json          0.6.7                    pypi_0    pypi
debugpy                   1.8.5           py311hda3d55a_1    conda-forge
decorator                 5.1.1              pyhd8ed1ab_0    conda-forge
deepdiff                  8.0.1                    pypi_0    pypi
defusedxml                0.7.1                    pypi_0    pypi
deprecated                1.2.14                   pypi_0    pypi
deprecation               2.1.0                    pypi_0    pypi
distro                    1.9.0              pyhd8ed1ab_0    conda-forge
docker                    7.1.0                    pypi_0    pypi
docopt                    0.6.2                    pypi_0    pypi
docstring-parser          0.16                     pypi_0    pypi
docx2txt                  0.8                      pypi_0    pypi
duckduckgo-search         6.3.0                    pypi_0    pypi
durationpy                0.7                      pypi_0    pypi
embedchain                0.1.121                  pypi_0    pypi
emoji                     2.13.2                   pypi_0    pypi
exceptiongroup            1.2.2              pyhd8ed1ab_0    conda-forge
executing                 2.1.0              pyhd8ed1ab_0    conda-forge
expat                     2.6.3                he0c23c2_0    conda-forge
fastapi                   0.115.0                  pypi_0    pypi
fastavro                  1.9.7                    pypi_0    pypi
fastjsonschema            2.20.0                   pypi_0    pypi
filelock                  3.16.1                   pypi_0    pypi
