Package                                  Version
---------------------------------------- ---------------
agentops                                 0.3.13
aiohappyeyeballs                         2.4.0
aiohttp                                  3.10.5
aiosignal                                1.3.1
alembic                                  1.13.3
altair                                   5.4.1
annotated-types                          0.7.0
anyio                                    4.6.0
appdirs                                  1.4.4
archspec                                 0.2.3
asgiref                                  3.8.1
asttokens                                2.4.1
attrs                                    24.2.0
backcall                                 0.2.0
backoff                                  2.2.1
bcrypt                                   4.2.0
beautifulsoup4                           4.12.3
bleach                                   6.1.0
blinker                                  1.8.2
boltons                                  24.0.0
boto3                                    1.35.25
botocore                                 1.35.25
Brotli                                   1.1.0
build                                    1.2.2
cachetools                               5.5.0
certifi                                  2024.8.30
cffi                                     1.17.1
chardet                                  5.2.0
charset-normalizer                       3.3.2
chroma-hnswlib                           0.7.3
chromadb                                 0.4.24
click                                    8.1.7
cohere                                   5.9.4
colorama                                 0.4.6
coloredlogs                              15.0.1
comm                                     0.2.2
conda                                    24.9.1
conda-libmamba-solver                    24.7.0
conda-package-handling                   2.3.0
conda_package_streaming                  0.10.0
crewai                                   0.41.1
crewai-tools                             0.4.8
cryptography                             43.0.1
cssselect2                               0.2.1
dataclasses-json                         0.6.7
debugpy                                  1.8.5
decorator                                5.1.1
deepdiff                                 8.0.1
defusedxml                               0.7.1
Deprecated                               1.2.14
deprecation                              2.1.0
distro                                   1.9.0
docker                                   7.1.0
docopt                                   0.6.2
docstring_parser                         0.16
docx2txt                                 0.8
duckduckgo_search                        6.3.0
durationpy                               0.7
embedchain                               0.1.121
emoji                                    2.13.2
exceptiongroup                           1.2.2
executing                                2.1.0
fastapi                                  0.115.0
fastavro                                 1.9.7
fastjsonschema                           2.20.0
filelock                                 3.16.1
filetype                                 1.2.0
flatbuffers                              24.3.25
fonttools                                4.54.1
fpdf                                     1.7.2
frozendict                               2.4.4
frozenlist                               1.4.1
fsspec                                   2024.9.0
gitdb                                    4.0.11
GitPython                                3.1.43
google-api-core                          2.20.0
google-auth                              2.35.0
google-cloud-aiplatform                  1.67.1
google-cloud-bigquery                    3.25.0
google-cloud-core                        2.4.1
google-cloud-resource-manager            1.12.5
google-cloud-storage                     2.18.2
google-crc32c                            1.6.0
google-resumable-media                   2.7.2
googleapis-common-protos                 1.65.0
gptcache                                 0.1.44
greenlet                                 3.1.1
groq                                     0.11.0
grpc-google-iam-v1                       0.13.1
grpcio                                   1.66.1
grpcio-status                            1.62.3
grpcio-tools                             1.62.3
h11                                      0.14.0
h2                                       4.1.0
hpack                                    4.0.0
html5lib                                 1.1
httpcore                                 1.0.5
httptools                                0.6.1
httpx                                    0.27.2
httpx-sse                                0.4.0
huggingface-hub                          0.25.1
humanfriendly                            10.0
hyperframe                               6.0.1
idna                                     3.10
importlib_metadata                       7.2.1
importlib_resources                      6.4.5
iniconfig                                2.0.0
instructor                               1.3.3
intel-openmp                             2021.4.0
ipykernel                                6.29.5
ipython                                  8.12.3
ipywidgets                               8.1.5
jedi                                     0.19.1
Jinja2                                   3.1.4
jiter                                    0.4.2
jmespath                                 1.0.1
joblib                                   1.4.2
json_repair                              0.25.3
jsonpatch                                1.33
jsonpath-python                          1.0.6
jsonpointer                              3.0.0
jsonref                                  1.1.0
jsonschema                               4.23.0
jsonschema-specifications                2023.12.1
jupyter_client                           8.6.3
jupyter_core                             5.7.2
jupyterlab_pygments                      0.3.0
jupyterlab_widgets                       3.0.13
kubernetes                               31.0.0
lancedb                                  0.5.7
langchain                                0.2.11
langchain-cohere                         0.1.9
langchain-community                      0.2.10
langchain-core                           0.2.41
langchain-experimental                   0.0.64
langchain-groq                           0.1.6
langchain-openai                         0.1.16
langchain-text-splitters                 0.2.4
langdetect                               1.0.9
langsmith                                0.1.125
libmambapy                               1.5.10
lxml                                     5.3.0
Mako                                     1.3.5
markdown-it-py                           3.0.0
markdown2                                2.5.0
MarkupSafe                               2.1.5
marshmallow                              3.22.0
matplotlib-inline                        0.1.7
mdurl                                    0.1.2
mem0ai                                   0.0.20
menuinst                                 2.1.2
mistune                                  3.0.2
mkl                                      2021.4.0
mmh3                                     5.0.1
monotonic                                1.6
mpmath                                   1.3.0
multidict                                6.1.0
multitasking                             0.0.11
munkres                                  1.1.4
mypy-extensions                          1.0.0
narwhals                                 1.8.2
nbclient                                 0.10.0
nbconvert                                7.16.4
nbformat                                 5.10.4
nest_asyncio                             1.6.0
networkx                                 3.3
nltk                                     3.9.1
nodeenv                                  1.9.1
numpy                                    1.26.4
oauthlib                                 3.2.2
onnxruntime                              1.19.2
openai                                   1.47.1
opentelemetry-api                        1.27.0
opentelemetry-exporter-otlp-proto-common 1.27.0
opentelemetry-exporter-otlp-proto-grpc   1.27.0
opentelemetry-exporter-otlp-proto-http   1.27.0
opentelemetry-instrumentation            0.48b0
opentelemetry-instrumentation-asgi       0.48b0
opentelemetry-instrumentation-fastapi    0.48b0
opentelemetry-proto                      1.27.0
opentelemetry-sdk                        1.27.0
opentelemetry-semantic-conventions       0.48b0
opentelemetry-util-http                  0.48b0
orderly-set                              5.2.2
orjson                                   3.10.7
outcome                                  1.3.0.post0
overrides                                7.7.0
packaging                                23.2
pandas                                   2.2.2
pandocfilters                            1.5.1
parameterized                            0.9.0
parso                                    0.8.4
pdfkit                                   1.0.0
peewee                                   3.17.6
pickleshare                              0.7.5
pillow                                   10.4.0
pip                                      24.2
pipreqs                                  0.5.0
pkgutil_resolve_name                     1.3.10
platformdirs                             4.3.6
plotly                                   5.22.0
pluggy                                   1.5.0
portalocker                              2.10.1
posthog                                  3.6.6
praw                                     7.7.1
prawcore                                 2.4.0
primp                                    0.6.3
prompt_toolkit                           3.0.47
proto-plus                               1.24.0
protobuf                                 4.25.3
psutil                                   5.9.8
pulsar-client                            3.5.0
pure_eval                                0.2.3
py                                       1.11.0
pyarrow                                  17.0.0
pyasn1                                   0.6.1
pyasn1_modules                           0.4.1
pycosat                                  0.6.6
pycparser                                2.22
pydantic                                 2.9.2
pydantic_core                            2.23.4
pydeck                                   0.8.0b4
pydyf                                    0.11.0
Pygments                                 2.18.0
pylance                                  0.9.18
pypdf                                    4.3.1
pyphen                                   0.16.0
PyPika                                   0.48.9
pyproject_hooks                          1.1.0
pyreadline3                              3.5.4
pyright                                  1.1.381
pysbd                                    0.3.4
PySocks                                  1.7.1
pysqlite3                                0.5.3
pytest                                   8.3.3
python-dateutil                          2.9.0
python-dotenv                            1.0.1
python-iso639                            2024.4.27
python-magic                             0.4.27
pytube                                   15.0.0
pytz                                     2024.1
pywin32                                  306
PyYAML                                   6.0.2
pyzmq                                    26.2.0
qdrant-client                            1.11.2
RapidFuzz                                3.10.0
ratelimiter                              1.2.0.post0
referencing                              0.35.1
regex                                    2023.12.25
requests                                 2.32.3
requests-oauthlib                        2.0.0
requests-toolbelt                        1.0.0
retry                                    0.9.2
rich                                     13.8.1
rpds-py                                  0.20.0
rsa                                      4.9
ruamel.yaml                              0.18.6
ruamel.yaml.clib                         0.2.8
s3transfer                               0.10.2
safetensors                              0.4.5
schema                                   0.7.7
selenium                                 4.25.0
semver                                   3.0.2
setuptools                               74.1.2
shapely                                  2.0.6
shellingham                              1.5.4
six                                      1.16.0
smmap                                    5.0.0
sniffio                                  1.3.1
sortedcontainers                         2.4.0
soupsieve                                2.6
SQLAlchemy                               2.0.35
stack-data                               0.6.2
starlette                                0.38.6
streamlit                                1.38.0
sympy                                    1.13.3
tabulate                                 0.9.0
tbb                                      2021.13.1
tenacity                                 8.5.0
termcolor                                2.4.0
tiktoken                                 0.7.0
tinycss2                                 1.3.0
tokenizers                               0.19.1
toml                                     0.10.2
torch                                    2.3.1
tornado                                  6.4.1
tqdm                                     4.66.5
traitlets                                5.14.3
transformers                             4.42.4
trio                                     0.26.2
trio-websocket                           0.11.1
truststore                               0.9.2
typer                                    0.12.5
types-requests                           2.32.0.20240914
typing_extensions                        4.12.2
typing-inspect                           0.9.0
tzdata                                   2024.1
tzlocal                                  5.2
unstructured                             0.14.10
unstructured-client                      0.25.9
update-checker                           0.18.0
urllib3                                  2.2.3
uvicorn                                  0.30.6
validators                               0.34.0
watchdog                                 4.0.1
watchfiles                               0.24.0
wcwidth                                  0.2.13
weasyprint                               62.3
webencodings                             0.5.1
websocket-client                         1.8.0
websockets                               13.1
wheel                                    0.44.0
widgetsnbextension                       4.0.13
win-inet-pton                            1.1.0
wrapt                                    1.16.0
wsproto                                  1.2.0
yarg                                     0.1.9
yarl                                     1.12.1
yfinance                                 0.2.41
zipp                                     3.20.2
zstandard                                0.23.0
